timestamp,elapsed_s,driver_state,alert_level,drowsiness,drowsiness_confidence,distraction,distraction_confidence,latency_ms,yaw,pitch,roll
2026-07-01T15:43:36.302,5.602,distracted,1,non_drowsy,0.9997,distracted_left,0.9,1977.0,,,
2026-07-01T15:43:37.212,7.609,distracted,1,non_drowsy,0.9987,distracted_left,0.9,886.6,,,
2026-07-01T15:43:38.115,8.51,distracted,1,non_drowsy,0.9998,distracted_left,0.9,885.5,,,
2026-07-01T15:43:38.832,9.415,distracted,1,non_drowsy,0.9991,distracted_left,0.9,698.7,,,
2026-07-01T15:43:39.331,10.132,distracted,1,non_drowsy,0.9999,distracted_left,0.9,480.8,,,
2026-07-01T15:43:40.034,10.629,distracted,1,non_drowsy,0.9999,distracted_left,0.9,683.8,,,
2026-07-01T15:43:40.492,11.335,distracted,1,non_drowsy,0.9999,distracted_left,0.9,438.7,,,
2026-07-01T15:43:41.082,11.793,distracted,1,non_drowsy,0.9994,distracted_left,0.9,569.0,,,
2026-07-01T15:43:41.576,12.38,distracted,1,non_drowsy,0.9997,distracted_left,0.9,478.9,,,
2026-07-01T15:43:42.066,12.872,distracted,1,non_drowsy,0.9995,distracted_left,0.9,472.8,,,
2026-07-01T15:43:42.894,13.659,distracted,1,non_drowsy,0.9987,distracted_left,0.9,519.3,,,
2026-07-01T15:43:43.583,14.192,distracted,1,non_drowsy,0.9989,distracted_left,0.9,675.5,,,
2026-07-01T15:43:44.180,14.88,distracted,1,non_drowsy,0.9977,distracted_left,0.9,579.9,,,
2026-07-01T15:43:45.031,15.478,distracted,1,non_drowsy,0.9834,distracted_left,0.9,819.1,,,
2026-07-01T15:43:46.348,16.331,distracted,1,non_drowsy,0.9984,distracted_left,0.9,1286.0,,,
2026-07-01T15:43:47.214,17.656,distracted,1,non_drowsy,0.9984,distracted_left,0.9,834.7,,,
2026-07-01T15:43:47.673,18.514,distracted,1,non_drowsy,0.9978,distracted_left,0.9,437.6,,,
2026-07-01T15:43:48.162,18.974,distracted,1,non_drowsy,0.9939,distracted_left,0.9,470.9,,,
2026-07-01T15:43:48.713,19.462,distracted,1,non_drowsy,0.9991,distracted_left,0.9,529.4,,,
2026-07-01T15:43:49.179,20.012,distracted,1,non_drowsy,0.9946,distracted_left,0.9,449.4,,,
2026-07-01T15:43:50.960,21.351,distracted,1,non_drowsy,0.999,distracted_left,0.9,891.9,,,
2026-07-01T15:43:51.601,22.264,distracted,1,non_drowsy,0.993,distracted_left,0.9,620.6,,,
2026-07-01T15:43:52.160,22.901,distracted,1,non_drowsy,0.9952,distracted_left,0.9,535.7,,,
2026-07-01T15:43:52.694,23.464,distracted,1,non_drowsy,0.9938,distracted_left,0.9,510.1,,,
2026-07-01T15:43:53.169,23.994,distracted,1,non_drowsy,0.9987,distracted_left,0.9,451.9,,,
2026-07-01T15:43:53.741,24.469,distracted,1,non_drowsy,0.9909,distracted_left,0.9,552.2,,,
2026-07-01T15:43:54.274,25.039,distracted,1,non_drowsy,0.9989,distracted_left,0.9,505.9,,,
2026-07-01T15:43:54.755,25.578,distracted,1,non_drowsy,0.9973,distracted_left,0.9,459.3,,,
2026-07-01T15:43:55.211,26.057,distracted,1,non_drowsy,0.9932,distracted_left,0.9,437.9,,,
2026-07-01T15:43:55.742,26.517,distracted,1,non_drowsy,0.9771,distracted_left,0.9,507.8,,,
2026-07-01T15:43:56.617,27.369,distracted,1,non_drowsy,0.9958,distracted_left,0.9,530.5,,,
2026-07-01T15:43:57.155,27.915,distracted,1,non_drowsy,0.9125,distracted_left,0.9,515.4,,,
2026-07-01T15:43:57.733,28.453,distracted,1,non_drowsy,0.98,distracted_left,0.9,557.4,,,
2026-07-01T15:43:58.233,29.035,distracted,1,non_drowsy,0.9579,distracted_left,0.9,474.1,,,
2026-07-01T15:43:58.724,29.537,distracted,1,non_drowsy,0.8453,distracted_left,0.9,460.3,,,
2026-07-01T15:43:59.247,30.024,distracted,1,non_drowsy,0.894,distracted_left,0.9,506.6,,,
2026-07-01T15:43:59.758,30.546,distracted,1,non_drowsy,0.9923,distracted_left,0.9,487.3,,,
2026-07-01T15:44:00.530,31.058,distracted,1,non_drowsy,0.9931,distracted_left,0.9,741.7,,,
2026-07-01T15:44:01.251,31.833,distracted,1,non_drowsy,0.9967,distracted_left,0.9,699.4,,,
2026-07-01T15:44:01.829,32.551,distracted,1,non_drowsy,0.9975,distracted_left,0.9,556.6,,,
2026-07-01T15:44:02.965,33.397,distracted,1,non_drowsy,0.9982,distracted_left,0.9,845.1,,,
2026-07-01T15:44:03.789,34.266,safe,0,non_drowsy,0.9945,unknown,0.0,790.7,,,
2026-07-01T15:44:04.803,35.095,distracted,1,non_drowsy,0.9681,distracted_left,0.9,974.6,,,
2026-07-01T15:44:06.133,36.102,distracted,1,non_drowsy,0.9904,distracted_left,0.9,1302.7,,,
2026-07-01T15:44:08.382,37.46,safe,0,non_drowsy,0.9996,unknown,0.0,2200.8,,,
2026-07-01T15:44:09.619,39.712,distracted,1,non_drowsy,0.9994,distracted_left,0.9,1168.9,,,
2026-07-01T15:44:11.487,40.931,distracted,1,non_drowsy,0.9983,distracted_left,0.9,1822.0,,,
