timestamp,elapsed_s,driver_state,alert_level,drowsiness,drowsiness_confidence,distraction,distraction_confidence,latency_ms,yaw,pitch,roll
2026-06-30T12:01:09.491,11.939,distracted,1,non_drowsy,0.9436,distracted_left,0.9,158.3,,,
2026-06-30T12:01:09.629,12.103,distracted,1,non_drowsy,0.8935,distracted_left,0.9,132.2,,,
2026-06-30T12:01:09.894,12.338,distracted,1,non_drowsy,0.7481,distracted_left,0.9,162.2,,,
2026-06-30T12:01:10.032,12.509,distracted,1,non_drowsy,0.7029,distracted_left,0.9,129.8,,,
2026-06-30T12:01:10.170,12.645,distracted,1,non_drowsy,0.7113,distracted_left,0.9,131.1,,,
2026-06-30T12:01:10.319,12.782,distracted,1,non_drowsy,0.6359,distracted_left,0.9,143.1,,,
2026-06-30T12:01:10.452,12.932,distracted,1,non_drowsy,0.7187,distracted_left,0.9,125.6,,,
2026-06-30T12:01:10.598,13.065,distracted,1,non_drowsy,0.7249,distracted_left,0.9,139.3,,,
2026-06-30T12:01:10.757,13.214,distracted,1,non_drowsy,0.7801,distracted_left,0.9,149.6,,,
2026-06-30T12:01:10.915,13.37,distracted,1,non_drowsy,0.7373,distracted_left,0.9,151.3,,,
2026-06-30T12:01:11.113,13.533,distracted,1,non_drowsy,0.8033,distracted_left,0.9,186.0,,,
2026-06-30T12:01:11.328,13.726,distracted,1,non_drowsy,0.8312,distracted_left,0.9,207.6,,,
2026-06-30T12:01:11.516,13.941,distracted,1,non_drowsy,0.6697,distracted_left,0.9,181.8,,,
